LOKALNYID,ULICA_LOKALNYID,ULICA_NAZWA,NUMER_ADR,KOD_POCZTOWY,ETYKIETA_NAZWA_SKROCONA
pa_10380,ul_1643,ul. Ożynowa,11,53-009,Ożynowa 11
pa_57736,ul_1643,ul. Ożynowa,12,53-009,Ożynowa 12
pa_42224,ul_1643,ul. Ożynowa,13,53-009,Ożynowa 13
pa_53180,ul_1643,ul. Ożynowa,14,53-009,Ożynowa 14
pa_26738,ul_1643,ul. Ożynowa,15,53-009,Ożynowa 15
pa_43263,ul_1643,ul. Ożynowa,16,53-009,Ożynowa 16
pa_51958,ul_1643,ul. Ożynowa,17,53-009,Ożynowa 17
pa_42429,ul_1643,ul. Ożynowa,17a,53-009,Ożynowa 17a
pa_8373,ul_1643,ul. Ożynowa,19,53-009,Ożynowa 19
pa_25700,ul_1643,ul. Ożynowa,21,53-009,Ożynowa 21
pa_27917,ul_1643,ul. Ożynowa,22,53-009,Ożynowa 22
pa_19525,ul_1643,ul. Ożynowa,23,53-009,Ożynowa 23
pa_25266,ul_1643,ul. Ożynowa,24,53-009,Ożynowa 24
pa_32266,ul_1643,ul. Ożynowa,25,53-009,Ożynowa 25
pa_57360,ul_1643,ul. Ożynowa,26,53-009,Ożynowa 26
pa_53221,ul_1643,ul. Ożynowa,27,53-009,Ożynowa 27
pa_55801,ul_1643,ul. Ożynowa,29,53-009,Ożynowa 29
pa_37974,ul_1643,ul. Ożynowa,3,53-009,Ożynowa 3
pa_12954,ul_1643,ul. Ożynowa,31,53-009,Ożynowa 31
pa_57565,ul_1643,ul. Ożynowa,32,53-009,Ożynowa 32
pa_52626,ul_1643,ul. Ożynowa,33,53-009,Ożynowa 33
pa_7948,ul_1643,ul. Ożynowa,34,53-009,Ożynowa 34
pa_13758,ul_1643,ul. Ożynowa,35,53-009,Ożynowa 35
pa_54005,ul_1643,ul. Ożynowa,36,53-009,Ożynowa 36
pa_18951,ul_1643,ul. Ożynowa,37,53-009,Ożynowa 37
pa_55684,ul_1643,ul. Ożynowa,38,53-009,Ożynowa 38
pa_45847,ul_1643,ul. Ożynowa,39,53-009,Ożynowa 39
pa_36346,ul_1643,ul. Ożynowa,4,53-009,Ożynowa 4
pa_44049,ul_1643,ul. Ożynowa,40,53-009,Ożynowa 40
pa_32299,ul_1643,ul. Ożynowa,41,53-009,Ożynowa 41
pa_33497,ul_1643,ul. Ożynowa,41a,53-009,Ożynowa 41a
pa_41162,ul_1643,ul. Ożynowa,42,53-009,Ożynowa 42
pa_30249,ul_1643,ul. Ożynowa,44,53-009,Ożynowa 44
pa_38044,ul_1643,ul. Ożynowa,45,53-009,Ożynowa 45
pa_58741,ul_1643,ul. Ożynowa,46,53-009,Ożynowa 46
pa_28959,ul_1643,ul. Ożynowa,47,53-009,Ożynowa 47
pa_13099,ul_1643,ul. Ożynowa,47a,53-009,Ożynowa 47a
pa_38256,ul_1643,ul. Ożynowa,48,53-009,Ożynowa 48
pa_14612,ul_1643,ul. Ożynowa,49,53-009,Ożynowa 49
pa_47480,ul_1643,ul. Ożynowa,49a,53-009,Ożynowa 49a
pa_54054,ul_1643,ul. Ożynowa,5,53-009,Ożynowa 5
pa_6903,ul_1643,ul. Ożynowa,51,53-009,Ożynowa 51
pa_28428,ul_1643,ul. Ożynowa,51a,53-009,Ożynowa 51a
pa_34253,ul_1643,ul. Ożynowa,51b,53-009,Ożynowa 51b
pa_58387,ul_1643,ul. Ożynowa,6,53-009,Ożynowa 6
pa_55462,ul_1643,ul. Ożynowa,7,53-009,Ożynowa 7
pa_48044,ul_1643,ul. Ożynowa,9,53-009,Ożynowa 9
pa_49988,ul_1643,ul. Ożynowa,9a,53-009,Ożynowa 9a
pa_29580,ul_1643,ul. Ożynowa,9b,53-009,Ożynowa 9b
pa_25230,ul_1644,ul. Pabianicka,1,53-339,Pabianicka 1
pa_59606,ul_1644,ul. Pabianicka,10,53-339,Pabianicka 10
pa_55114,ul_1644,ul. Pabianicka,11,53-339,Pabianicka 11
pa_43589,ul_1644,ul. Pabianicka,12,53-339,Pabianicka 12
pa_44344,ul_1644,ul. Pabianicka,13,53-339,Pabianicka 13
pa_23503,ul_1644,ul. Pabianicka,14,53-339,Pabianicka 14
pa_46032,ul_1644,ul. Pabianicka,15,53-339,Pabianicka 15
pa_8338,ul_1644,ul. Pabianicka,16,53-339,Pabianicka 16
pa_58852,ul_1644,ul. Pabianicka,17,53-339,Pabianicka 17
pa_15184,ul_1644,ul. Pabianicka,18,53-339,Pabianicka 18
pa_18638,ul_1644,ul. Pabianicka,19,53-339,Pabianicka 19
pa_32198,ul_1644,ul. Pabianicka,2,53-339,Pabianicka 2
pa_20117,ul_1644,ul. Pabianicka,20,53-339,Pabianicka 20
pa_32073,ul_1644,ul. Pabianicka,21,53-339,Pabianicka 21
pa_44974,ul_1644,ul. Pabianicka,22,53-339,Pabianicka 22
pa_52854,ul_1644,ul. Pabianicka,23,53-339,Pabianicka 23
pa_32936,ul_1644,ul. Pabianicka,24,53-339,Pabianicka 24
pa_19729,ul_1644,ul. Pabianicka,25,53-339,Pabianicka 25
pa_5894,ul_1644,ul. Pabianicka,26,53-339,Pabianicka 26
pa_11758,ul_1644,ul. Pabianicka,3,53-339,Pabianicka 3
pa_48130,ul_1644,ul. Pabianicka,4,53-339,Pabianicka 4
pa_26469,ul_1644,ul. Pabianicka,5,53-339,Pabianicka 5
pa_48970,ul_1644,ul. Pabianicka,6,53-339,Pabianicka 6
pa_17395,ul_1644,ul. Pabianicka,7,53-339,Pabianicka 7
pa_31101,ul_1644,ul. Pabianicka,8,53-339,Pabianicka 8
pa_21047,ul_1644,ul. Pabianicka,9,53-339,Pabianicka 9
pa_9961,ul_1645,ul. Pachnąca,10,52-242,Pachnąca 10
pa_44349,ul_1645,ul. Pachnąca,12,52-242,Pachnąca 12
pa_29113,ul_1645,ul. Pachnąca,2,52-242,Pachnąca 2
pa_44432,ul_1645,ul. Pachnąca,2a,52-242,Pachnąca 2a
pa_25598,ul_1645,ul. Pachnąca,3,52-242,Pachnąca 3
pa_32804,ul_1645,ul. Pachnąca,4,52-242,Pachnąca 4
pa_52060,ul_1645,ul. Pachnąca,5,52-242,Pachnąca 5
pa_28378,ul_1645,ul. Pachnąca,6,52-242,Pachnąca 6
pa_36912,ul_1645,ul. Pachnąca,7,52-242,Pachnąca 7
pa_19455,ul_1645,ul. Pachnąca,8,52-242,Pachnąca 8
pa_53840,ul_1646,ul. Paczkowska,26,50-503,Paczkowska 26
pa_33393,ul_1646,ul. Paczkowska,3,50-503,Paczkowska 3
pa_49248,ul_1646,ul. Paczkowska,30,50-503,Paczkowska 30
pa_56342,ul_1646,ul. Paczkowska,32,50-503,Paczkowska 32
pa_36994,ul_1646,ul. Paczkowska,34,50-503,Paczkowska 34
pa_42436,ul_1646,ul. Paczkowska,38,50-503,Paczkowska 38
pa_53828,ul_1646,ul. Paczkowska,40,50-503,Paczkowska 40
pa_54408,ul_1646,ul. Paczkowska,42,50-503,Paczkowska 42
pa_42077,ul_1646,ul. Paczkowska,44,50-503,Paczkowska 44
pa_55326,ul_1646,ul. Paczkowska,46,50-503,Paczkowska 46
pa_54905,ul_1646,ul. Paczkowska,46a,50-503,Paczkowska 46a
pa_11971,ul_1646,ul. Paczkowska,48,50-503,Paczkowska 48
pa_59115,ul_1646,ul. Paczkowska,50,50-503,Paczkowska 50
pa_798,ul_1647,ul. Pakistańska,11,52-117,Pakistańska 11
pa_5704,ul_1647,ul. Pakistańska,3,52-117,Pakistańska 3
pa_801,ul_1647,ul. Pakistańska,5,52-117,Pakistańska 5
pa_800,ul_1647,ul. Pakistańska,7,52-117,Pakistańska 7
pa_799,ul_1647,ul. Pakistańska,9,52-117,Pakistańska 9
pa_4247,ul_1142,ul. Pakosławska,10,51-126,Pakosławska 10
pa_4591,ul_1142,ul. Pakosławska,11,51-126,Pakosławska 11
pa_4747,ul_1142,ul. Pakosławska,12,51-126,Pakosławska 12
pa_3048,ul_1142,ul. Pakosławska,13,51-126,Pakosławska 13
pa_5401,ul_1142,ul. Pakosławska,14,51-126,Pakosławska 14
pa_5056,ul_1142,ul. Pakosławska,15,51-126,Pakosławska 15
pa_5759,ul_1142,ul. Pakosławska,16,51-126,Pakosławska 16
pa_5727,ul_1142,ul. Pakosławska,17,51-126,Pakosławska 17
pa_3421,ul_1142,ul. Pakosławska,18,51-126,Pakosławska 18
pa_4523,ul_1142,ul. Pakosławska,19,51-126,Pakosławska 19
pa_2888,ul_1142,ul. Pakosławska,2,51-126,Pakosławska 2
pa_5146,ul_1142,ul. Pakosławska,20,51-126,Pakosławska 20
pa_4331,ul_1142,ul. Pakosławska,21,51-126,Pakosławska 21
pa_4136,ul_1142,ul. Pakosławska,22,51-126,Pakosławska 22
pa_4505,ul_1142,ul. Pakosławska,23,51-126,Pakosławska 23
pa_3197,ul_1142,ul. Pakosławska,24,51-126,Pakosławska 24
pa_74641,ul_1142,ul. Pakosławska,25,51-126,Pakosławska 25
pa_2145,ul_1142,ul. Pakosławska,26,51-126,Pakosławska 26
pa_3533,ul_1142,ul. Pakosławska,28,51-126,Pakosławska 28
pa_104292,ul_1142,ul. Pakosławska,2a,51-126,Pakosławska 2a
pa_70927,ul_1142,ul. Pakosławska,32,51-126,Pakosławska 32
pa_70928,ul_1142,ul. Pakosławska,34,51-126,Pakosławska 34
pa_70929,ul_1142,ul. Pakosławska,36,51-126,Pakosławska 36
pa_70930,ul_1142,ul. Pakosławska,38,51-126,Pakosławska 38
pa_5164,ul_1142,ul. Pakosławska,4,51-126,Pakosławska 4
pa_70931,ul_1142,ul. Pakosławska,40,51-126,Pakosławska 40
pa_75792,ul_1142,ul. Pakosławska,42,51-126,Pakosławska 42
pa_75793,ul_1142,ul. Pakosławska,44,51-126,Pakosławska 44
pa_75794,ul_1142,ul. Pakosławska,46,51-126,Pakosławska 46
pa_3399,ul_1142,ul. Pakosławska,5,51-126,Pakosławska 5
pa_65469,ul_1142,ul. Pakosławska,5a,51-126,Pakosławska 5a
pa_2563,ul_1142,ul. Pakosławska,6,51-126,Pakosławska 6
pa_3810,ul_1142,ul. Pakosławska,7,51-126,Pakosławska 7
pa_73676,ul_1142,ul. Pakosławska,7a,51-126,Pakosławska 7a
pa_73677,ul_1142,ul. Pakosławska,7b,51-126,Pakosławska 7b
pa_73678,ul_1142,ul. Pakosławska,7c,51-126,Pakosławska 7c
pa_73679,ul_1142,ul. Pakosławska,7d,51-126,Pakosławska 7d
pa_73680,ul_1142,ul. Pakosławska,7e,51-126,Pakosławska 7e
pa_4447,ul_1142,ul. Pakosławska,8,51-126,Pakosławska 8
pa_5681,ul_1142,ul. Pakosławska,9,51-126,Pakosławska 9
pa_21631,ul_668,ul. Jana Palacha,11,51-348,Palacha 11
pa_7557,ul_668,ul. Jana Palacha,13,51-348,Palacha 13
pa_10696,ul_668,ul. Jana Palacha,1a,51-348,Palacha 1a
pa_37953,ul_668,ul. Jana Palacha,1b,51-348,Palacha 1b
pa_13238,ul_668,ul. Jana Palacha,2,51-348,Palacha 2
pa_38170,ul_668,ul. Jana Palacha,3,51-348,Palacha 3
pa_24932,ul_668,ul. Jana Palacha,4a,51-348,Palacha 4a
pa_12337,ul_668,ul. Jana Palacha,5,51-348,Palacha 5
pa_50211,ul_668,ul. Jana Palacha,6,51-348,Palacha 6
pa_14551,ul_668,ul. Jana Palacha,7,51-348,Palacha 7
pa_54994,ul_668,ul. Jana Palacha,9,51-348,Palacha 9
pa_45551,ul_2019,ul. Palestyńska,10,52-133,Palestyńska 10
pa_12658,ul_2019,ul. Palestyńska,11,52-133,Palestyńska 11
pa_66766,ul_2019,ul. Palestyńska,11a,52-133,Palestyńska 11a
pa_33785,ul_2019,ul. Palestyńska,13,52-133,Palestyńska 13
pa_32435,ul_2019,ul. Palestyńska,15,52-133,Palestyńska 15
pa_26788,ul_2019,ul. Palestyńska,2,52-133,Palestyńska 2
pa_19383,ul_2019,ul. Palestyńska,4,52-133,Palestyńska 4
pa_39785,ul_2019,ul. Palestyńska,6,52-133,Palestyńska 6
pa_10929,ul_2019,ul. Palestyńska,7,52-133,Palestyńska 7
pa_31285,ul_2019,ul. Palestyńska,8,52-133,Palestyńska 8
pa_11051,ul_2019,ul. Palestyńska,9,52-133,Palestyńska 9
pa_21514,ul_1648,ul. Palisadowa,10,51-007,Palisadowa 10
pa_21714,ul_1648,ul. Palisadowa,11,51-007,Palisadowa 11
pa_45864,ul_1648,ul. Palisadowa,12,51-007,Palisadowa 12
pa_10688,ul_1648,ul. Palisadowa,13,51-007,Palisadowa 13
pa_13762,ul_1648,ul. Palisadowa,14,51-007,Palisadowa 14
pa_15813,ul_1648,ul. Palisadowa,15,51-007,Palisadowa 15
pa_20860,ul_1648,ul. Palisadowa,17,51-007,Palisadowa 17
pa_29581,ul_1648,ul. Palisadowa,18,51-007,Palisadowa 18
pa_18885,ul_1648,ul. Palisadowa,19,51-007,Palisadowa 19
pa_58764,ul_1648,ul. Palisadowa,20,51-007,Palisadowa 20
pa_38549,ul_1648,ul. Palisadowa,21,51-007,Palisadowa 21
pa_12247,ul_1648,ul. Palisadowa,23,51-007,Palisadowa 23
pa_58152,ul_1648,ul. Palisadowa,25,51-007,Palisadowa 25
pa_27256,ul_1648,ul. Palisadowa,4,51-007,Palisadowa 4
pa_43797,ul_1648,ul. Palisadowa,7,51-007,Palisadowa 7
pa_34608,ul_1648,ul. Palisadowa,9,51-007,Palisadowa 9
pa_35247,ul_1649,ul. Pałucka,15,54-153,Pałucka 15
pa_12438,ul_1649,ul. Pałucka,15a,54-153,Pałucka 15a
pa_49117,ul_1649,ul. Pałucka,15b,54-153,Pałucka 15b
pa_53122,ul_1649,ul. Pałucka,15c,54-153,Pałucka 15c
pa_15686,ul_1649,ul. Pałucka,23,54-153,Pałucka 23
pa_5601,ul_1649,ul. Pałucka,28,54-153,Pałucka 28
pa_25416,ul_1649,ul. Pałucka,34,54-153,Pałucka 34
pa_50858,ul_1649,ul. Pałucka,39,54-153,Pałucka 39
pa_26918,ul_1649,ul. Pałucka,41,54-153,Pałucka 41
pa_2683,ul_1649,ul. Pałucka,42,54-153,Pałucka 42
pa_56261,ul_1649,ul. Pałucka,43,54-153,Pałucka 43
pa_56405,ul_1649,ul. Pałucka,44,54-153,Pałucka 44
pa_7456,ul_1649,ul. Pałucka,45,54-153,Pałucka 45
pa_32729,ul_1649,ul. Pałucka,47,54-153,Pałucka 47
pa_20317,ul_1649,ul. Pałucka,49,54-153,Pałucka 49
pa_48757,ul_1649,ul. Pałucka,51,54-153,Pałucka 51
pa_50454,ul_1649,ul. Pałucka,53,54-153,Pałucka 53
pa_33744,ul_1649,ul. Pałucka,55,54-153,Pałucka 55
pa_32743,ul_1649,ul. Pałucka,57,54-153,Pałucka 57
pa_20856,ul_1649,ul. Pałucka,59,54-153,Pałucka 59
pa_32284,ul_1649,ul. Pałucka,61,54-153,Pałucka 61
pa_36014,ul_1649,ul. Pałucka,63,54-153,Pałucka 63
pa_21353,ul_1649,ul. Pałucka,65,54-153,Pałucka 65
pa_22930,ul_1649,ul. Pałucka,67,54-153,Pałucka 67
pa_27052,ul_1649,ul. Pałucka,69,54-153,Pałucka 69
pa_37896,ul_1649,ul. Pałucka,71,54-153,Pałucka 71
pa_26240,ul_1649,ul. Pałucka,73,54-153,Pałucka 73
pa_27429,ul_1649,ul. Pałucka,75,54-153,Pałucka 75
pa_9706,ul_2122,ul. Paniowicka,1,54-107,Paniowicka 1
pa_3406,ul_2122,ul. Paniowicka,11,54-107,Paniowicka 11
pa_1894,ul_2122,ul. Paniowicka,13,54-107,Paniowicka 13
pa_4713,ul_2122,ul. Paniowicka,15,54-107,Paniowicka 15
pa_5093,ul_2122,ul. Paniowicka,17,54-107,Paniowicka 17
pa_5106,ul_2122,ul. Paniowicka,19,54-107,Paniowicka 19
pa_3707,ul_2122,ul. Paniowicka,21,54-107,Paniowicka 21
pa_4077,ul_2122,ul. Paniowicka,23,54-107,Paniowicka 23
pa_12452,ul_2122,ul. Paniowicka,3,54-107,Paniowicka 3
pa_32349,ul_2122,ul. Paniowicka,5,54-107,Paniowicka 5
pa_17644,ul_2122,ul. Paniowicka,7,54-107,Paniowicka 7
pa_34383,ul_2122,ul. Paniowicka,9,54-107,Paniowicka 9
pa_36589,ul_1576,ul. Józefa Pankiewicza,1,51-639,Pankiewicza 1
pa_34869,ul_1576,ul. Józefa Pankiewicza,10,51-639,Pankiewicza 10
pa_6810,ul_1576,ul. Józefa Pankiewicza,11,51-639,Pankiewicza 11
pa_10339,ul_1576,ul. Józefa Pankiewicza,12,51-639,Pankiewicza 12
pa_43506,ul_1576,ul. Józefa Pankiewicza,13,51-639,Pankiewicza 13
pa_42882,ul_1576,ul. Józefa Pankiewicza,14,51-639,Pankiewicza 14
pa_36033,ul_1576,ul. Józefa Pankiewicza,15,51-639,Pankiewicza 15
pa_22109,ul_1576,ul. Józefa Pankiewicza,16,51-639,Pankiewicza 16
pa_52723,ul_1576,ul. Józefa Pankiewicza,17,51-639,Pankiewicza 17
pa_8191,ul_1576,ul. Józefa Pankiewicza,18,51-639,Pankiewicza 18
pa_21524,ul_1576,ul. Józefa Pankiewicza,19,51-639,Pankiewicza 19
pa_39273,ul_1576,ul. Józefa Pankiewicza,20,51-639,Pankiewicza 20
pa_41416,ul_1576,ul. Józefa Pankiewicza,20a,51-639,Pankiewicza 20a
pa_57202,ul_1576,ul. Józefa Pankiewicza,21,51-639,Pankiewicza 21
pa_33089,ul_1576,ul. Józefa Pankiewicza,22,51-639,Pankiewicza 22
pa_54594,ul_1576,ul. Józefa Pankiewicza,23,51-639,Pankiewicza 23
pa_26039,ul_1576,ul. Józefa Pankiewicza,24,51-639,Pankiewicza 24
pa_56789,ul_1576,ul. Józefa Pankiewicza,25,51-639,Pankiewicza 25
pa_46000,ul_1576,ul. Józefa Pankiewicza,26,51-639,Pankiewicza 26
pa_42556,ul_1576,ul. Józefa Pankiewicza,27,51-639,Pankiewicza 27
pa_53256,ul_1576,ul. Józefa Pankiewicza,3,51-639,Pankiewicza 3
pa_24037,ul_1576,ul. Józefa Pankiewicza,5,51-639,Pankiewicza 5
pa_39572,ul_1576,ul. Józefa Pankiewicza,6,51-639,Pankiewicza 6
pa_55428,ul_1576,ul. Józefa Pankiewicza,7,51-639,Pankiewicza 7
pa_8968,ul_1576,ul. Józefa Pankiewicza,8,51-639,Pankiewicza 8
pa_18510,ul_1576,ul. Józefa Pankiewicza,9,51-639,Pankiewicza 9
pa_46227,ul_1650,ul. Papiernicza,1,54-134,Papiernicza 1
pa_7907,ul_1650,ul. Papiernicza,11,54-134,Papiernicza 11
pa_27367,ul_1650,ul. Papiernicza,1a,54-134,Papiernicza 1a
pa_20913,ul_1650,ul. Papiernicza,1b,54-134,Papiernicza 1b
pa_45950,ul_1650,ul. Papiernicza,2,54-134,Papiernicza 2
pa_39577,ul_1650,ul. Papiernicza,3,54-134,Papiernicza 3
pa_23348,ul_1650,ul. Papiernicza,4,54-134,Papiernicza 4
pa_56981,ul_1650,ul. Papiernicza,5,54-134,Papiernicza 5
pa_34270,ul_1650,ul. Papiernicza,6,54-134,Papiernicza 6
pa_50381,ul_1650,ul. Papiernicza,7,54-134,Papiernicza 7
pa_40993,ul_1650,ul. Papiernicza,9,54-134,Papiernicza 9
pa_11555,ul_1651,ul. Paprotna,10,51-117,Paprotna 10
pa_34088,ul_1651,ul. Paprotna,12a,51-117,Paprotna 12a
pa_45946,ul_1651,ul. Paprotna,14,51-117,Paprotna 14
pa_58166,ul_1651,ul. Paprotna,14a,51-117,Paprotna 14a
pa_24304,ul_1651,ul. Paprotna,14b,51-117,Paprotna 14b
pa_27295,ul_1651,ul. Paprotna,16,51-117,Paprotna 16
pa_52397,ul_1651,ul. Paprotna,2,51-117,Paprotna 2
pa_19070,ul_1651,ul. Paprotna,3,51-117,Paprotna 3
pa_20334,ul_1651,ul. Paprotna,3a,51-117,Paprotna 3a
pa_54941,ul_1651,ul. Paprotna,3b,51-117,Paprotna 3b
pa_20701,ul_1651,ul. Paprotna,4,51-117,Paprotna 4
pa_8644,ul_1651,ul. Paprotna,5,51-117,Paprotna 5
pa_25113,ul_1651,ul. Paprotna,6,51-117,Paprotna 6
pa_48801,ul_1651,ul. Paprotna,7,51-117,Paprotna 7
pa_23707,ul_1651,ul. Paprotna,8,51-117,Paprotna 8
pa_36271,ul_1651,ul. Paprotna,8a,51-117,Paprotna 8a
pa_55148,ul_1651,ul. Paprotna,8b,51-117,Paprotna 8b
pa_35294,ul_1651,ul. Paprotna,8c,51-117,Paprotna 8c
pa_13919,ul_1651,ul. Paprotna,8d,51-117,Paprotna 8d
pa_7949,ul_1652,ul. Parafialna,1,52-233,Parafialna 1
pa_8315,ul_1652,ul. Parafialna,10,52-233,Parafialna 10
pa_57864,ul_1652,ul. Parafialna,10a,52-233,Parafialna 10a
pa_58955,ul_1652,ul. Parafialna,11,52-233,Parafialna 11
pa_38418,ul_1652,ul. Parafialna,11a,52-233,Parafialna 11a
pa_48140,ul_1652,ul. Parafialna,12,52-233,Parafialna 12
pa_35221,ul_1652,ul. Parafialna,12a,52-233,Parafialna 12a
pa_48332,ul_1652,ul. Parafialna,13,52-233,Parafialna 13
pa_42594,ul_1652,ul. Parafialna,13a,52-233,Parafialna 13a
pa_10788,ul_1652,ul. Parafialna,14,52-233,Parafialna 14
pa_16484,ul_1652,ul. Parafialna,15,52-233,Parafialna 15
pa_31545,ul_1652,ul. Parafialna,15a,52-233,Parafialna 15a
pa_10620,ul_1652,ul. Parafialna,16,52-233,Parafialna 16
pa_12054,ul_1652,ul. Parafialna,17,52-233,Parafialna 17
pa_18752,ul_1652,ul. Parafialna,17a,52-233,Parafialna 17a
pa_38495,ul_1652,ul. Parafialna,18,52-233,Parafialna 18
pa_4691,ul_1652,ul. Parafialna,19,52-233,Parafialna 19
pa_53259,ul_1652,ul. Parafialna,2,52-233,Parafialna 2
pa_46180,ul_1652,ul. Parafialna,20,52-233,Parafialna 20
pa_41414,ul_1652,ul. Parafialna,21,52-233,Parafialna 21
pa_14747,ul_1652,ul. Parafialna,22,52-233,Parafialna 22
pa_24008,ul_1652,ul. Parafialna,23,52-233,Parafialna 23
pa_37582,ul_1652,ul. Parafialna,25,52-233,Parafialna 25
pa_43986,ul_1652,ul. Parafialna,27,52-233,Parafialna 27
pa_40362,ul_1652,ul. Parafialna,28-30,52-233,Parafialna 28-30
pa_55096,ul_1652,ul. Parafialna,29,52-233,Parafialna 29
pa_54491,ul_1652,ul. Parafialna,2a,52-233,Parafialna 2a
pa_10098,ul_1652,ul. Parafialna,3,52-233,Parafialna 3
pa_25868,ul_1652,ul. Parafialna,31,52-233,Parafialna 31
pa_4114,ul_1652,ul. Parafialna,32-34,52-233,Parafialna 32-34
pa_31733,ul_1652,ul. Parafialna,33,52-233,Parafialna 33
pa_22412,ul_1652,ul. Parafialna,35,52-233,Parafialna 35
pa_28645,ul_1652,ul. Parafialna,36,52-233,Parafialna 36
pa_59643,ul_1652,ul. Parafialna,37,52-233,Parafialna 37
pa_23269,ul_1652,ul. Parafialna,38,52-233,Parafialna 38
pa_25217,ul_1652,ul. Parafialna,39,52-233,Parafialna 39
pa_38798,ul_1652,ul. Parafialna,41,52-233,Parafialna 41
pa_5963,ul_1652,ul. Parafialna,42,52-233,Parafialna 42
pa_58285,ul_1652,ul. Parafialna,43,52-233,Parafialna 43
pa_4086,ul_1652,ul. Parafialna,44-46,52-233,Parafialna 44-46
pa_26301,ul_1652,ul. Parafialna,45,52-233,Parafialna 45
pa_40184,ul_1652,ul. Parafialna,47,52-233,Parafialna 47
pa_37707,ul_1652,ul. Parafialna,49,52-233,Parafialna 49
pa_35553,ul_1652,ul. Parafialna,5,52-233,Parafialna 5
pa_42678,ul_1652,ul. Parafialna,51,52-233,Parafialna 51
pa_19903,ul_1652,ul. Parafialna,53,52-233,Parafialna 53
pa_36749,ul_1652,ul. Parafialna,53a,52-233,Parafialna 53a
pa_41342,ul_1652,ul. Parafialna,55,52-233,Parafialna 55
pa_46672,ul_1652,ul. Parafialna,55a,52-233,Parafialna 55a
pa_20236,ul_1652,ul. Parafialna,57,52-233,Parafialna 57
pa_9919,ul_1652,ul. Parafialna,59,52-233,Parafialna 59
pa_59794,ul_1652,ul. Parafialna,6,52-233,Parafialna 6
pa_75969,ul_1652,ul. Parafialna,60,52-233,Parafialna 60
pa_58475,ul_1652,ul. Parafialna,61,52-233,Parafialna 61
pa_27093,ul_1652,ul. Parafialna,63,52-233,Parafialna 63
pa_39335,ul_1652,ul. Parafialna,63a,52-233,Parafialna 63a
pa_53224,ul_1652,ul. Parafialna,65,52-233,Parafialna 65
pa_57494,ul_1652,ul. Parafialna,65a,52-233,Parafialna 65a
pa_20209,ul_1652,ul. Parafialna,67,52-233,Parafialna 67
pa_35214,ul_1652,ul. Parafialna,67a,52-233,Parafialna 67a
pa_23578,ul_1652,ul. Parafialna,67b,52-233,Parafialna 67b
pa_55106,ul_1652,ul. Parafialna,69,52-233,Parafialna 69
pa_54123,ul_1652,ul. Parafialna,69a,52-233,Parafialna 69a
pa_63189,ul_1652,ul. Parafialna,69b,52-233,Parafialna 69b
pa_17195,ul_1652,ul. Parafialna,7,52-233,Parafialna 7
pa_28637,ul_1652,ul. Parafialna,70,52-233,Parafialna 70
pa_17886,ul_1652,ul. Parafialna,71,52-233,Parafialna 71
pa_25419,ul_1652,ul. Parafialna,71a,52-233,Parafialna 71a
pa_49527,ul_1652,ul. Parafialna,71b,52-233,Parafialna 71b
pa_3997,ul_1652,ul. Parafialna,71c,52-233,Parafialna 71c
pa_4081,ul_1652,ul. Parafialna,71d,52-233,Parafialna 71d
pa_13845,ul_1652,ul. Parafialna,73,52-233,Parafialna 73
pa_39657,ul_1652,ul. Parafialna,73a,52-233,Parafialna 73a
pa_41380,ul_1652,ul. Parafialna,73b,52-233,Parafialna 73b
pa_59080,ul_1652,ul. Parafialna,73c,52-233,Parafialna 73c
pa_17087,ul_1652,ul. Parafialna,73d,52-233,Parafialna 73d
pa_15470,ul_1652,ul. Parafialna,75,52-233,Parafialna 75
pa_14961,ul_1652,ul. Parafialna,79,52-233,Parafialna 79
pa_46020,ul_1652,ul. Parafialna,7a,52-233,Parafialna 7a
pa_4608,ul_1652,ul. Parafialna,7b,52-233,Parafialna 7b
pa_47567,ul_1652,ul. Parafialna,8,52-233,Parafialna 8
pa_40252,ul_1652,ul. Parafialna,9,52-233,Parafialna 9
pa_14106,ul_1652,ul. Parafialna,9a,52-233,Parafialna 9a
pa_9588,ul_1577,ul. Jana Parandowskiego,1,54-622,Parandowskiego 1
pa_46392,ul_1577,ul. Jana Parandowskiego,11,54-622,Parandowskiego 11
pa_30143,ul_1577,ul. Jana Parandowskiego,13,54-622,Parandowskiego 13
pa_33046,ul_1577,ul. Jana Parandowskiego,15,54-622,Parandowskiego 15
pa_39460,ul_1577,ul. Jana Parandowskiego,17,54-622,Parandowskiego 17
pa_43541,ul_1577,ul. Jana Parandowskiego,19,54-622,Parandowskiego 19
pa_29907,ul_1577,ul. Jana Parandowskiego,21,54-622,Parandowskiego 21
pa_56477,ul_1577,ul. Jana Parandowskiego,23,54-622,Parandowskiego 23
pa_28401,ul_1577,ul. Jana Parandowskiego,25,54-622,Parandowskiego 25
pa_27027,ul_1577,ul. Jana Parandowskiego,27,54-622,Parandowskiego 27
pa_7179,ul_1577,ul. Jana Parandowskiego,29,54-622,Parandowskiego 29
pa_27619,ul_1577,ul. Jana Parandowskiego,3,54-622,Parandowskiego 3
pa_46801,ul_1577,ul. Jana Parandowskiego,31,54-622,Parandowskiego 31
pa_18286,ul_1577,ul. Jana Parandowskiego,33,54-622,Parandowskiego 33
